Area,Perimeter,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness
28395,610.291,28715,190.1410973,0.763922518,0.988855999,0.958027126,0.913357755
28734,638.018,29172,191.2727505,0.783968133,0.984985603,0.887033637,0.953860842
29380,624.11,29690,193.4109041,0.778113248,0.989558774,0.947849473,0.908774239
30008,645.884,30724,195.4670618,0.782681273,0.976695743,0.903936374,0.928328835
30140,620.134,30417,195.896503,0.773098035,0.99089325,0.984877069,0.970515523
30279,634.927,30600,196.3477022,0.775688485,0.989509804,0.943851783,0.923725952
30477,670.033,30970,196.9886332,0.762401501,0.984081369,0.853079869,0.933373552
30519,629.727,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392
30685,635.681,31044,197.659696,0.771561479,0.988435769,0.954239808,0.925658498
30834,631.934,31120,198.1390121,0.783682806,0.990809769,0.97027823,0.91212543
30917,640.765,31280,198.4055115,0.770805285,0.988395141,0.94625818,0.929038343
31091,638.558,31458,198.9630385,0.786377317,0.988333651,0.958172836,0.945254305
31107,640.594,31423,199.0142269,0.761046142,0.989943672,0.952581757,0.927163162
31158,642.626,31492,199.1773023,0.798759229,0.989394132,0.948119004,0.92005198
31158,641.105,31474,199.1773023,0.781313473,0.989959967,0.952623101,0.939218858
31178,636.888,31520,199.2412169,0.764110482,0.989149746,0.965899596,0.935510513
31202,644.454,31573,199.3178875,0.779192888,0.988249454,0.944079243,0.924305534
31203,639.782,31558,199.3210815,0.762984155,0.988750871,0.957948542,0.926782809
31272,638.666,31593,199.5413417,0.770322199,0.989839521,0.963425036,0.939237666
31335,635.011,31599,199.7422367,0.774277242,0.991645305,0.976510834,0.921362386
31374,636.401,31604,199.8664991,0.769196823,0.99272244,0.973459862,0.909040279
31530,638.857,31791,200.3627781,0.768949371,0.991790129,0.970792739,0.937213391
31573,674.103,32197,200.499357,0.756964757,0.980619312,0.873118507,0.922654737
31637,656.711,32045,200.702465,0.761823348,0.987267905,0.921842182,0.873685862
31675,657.431,32009,200.8229633,0.740935673,0.989565435,0.92092896,0.848239622
31682,646.721,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485
31703,656.305,32093,200.9117052,0.777110501,0.987847817,0.92490856,0.931401991
31748,641.826,32020,201.0542441,0.775589974,0.991505309,0.968482156,0.914812218
31768,650.954,32173,201.1175623,0.777674419,0.987411805,0.94210463,0.910201041
31811,642.092,32052,201.2536289,0.773877293,0.992480968,0.969600136,0.898515141
31821,649.681,32168,201.2852592,0.772354369,0.989212882,0.947378132,0.941748668
31823,662.532,32274,201.2915846,0.774847821,0.986025903,0.91103962,0.903168466
31837,656.404,32238,201.3358572,0.785245659,0.987561263,0.928537748,0.89517394
31915,640.718,32184,201.5823407,0.777655945,0.99164181,0.976946683,0.93186947
31972,639.974,32246,201.7622728,0.772270531,0.991502822,0.980968377,0.944193232
31992,640.338,32258,201.8253689,0.774212284,0.991753984,0.980466376,0.948038274
31994,654.535,32391,201.8316774,0.789741311,0.987743509,0.938453277,0.951267141
32015,653.676,32375,201.897905,0.761880964,0.988880309,0.941538949,0.948189147
32026,654.237,32349,201.9325869,0.779448988,0.990015147,0.940247873,0.874246265
32038,645.085,32308,201.970415,0.770514671,0.991642937,0.967478615,0.899716352
32044,652.651,32395,201.9893264,0.778069153,0.989164995,0.945354229,0.934499156
32057,642.082,32301,202.030295,0.779804909,0.992446054,0.977128658,0.935679416
32066,669.313,32481,202.058653,0.780878628,0.9872233,0.899489569,0.854599524
32109,663.582,32567,202.1940863,0.767625332,0.985936684,0.9163206,0.90075274
32114,648.566,32393,202.2098285,0.760670804,0.991387028,0.9593916,0.908165329
32167,654.893,32521,202.3766203,0.76059302,0.989114726,0.942496457,0.928501286
32213,658.216,32585,202.5212716,0.762907351,0.988583704,0.934338332,0.914395217
32218,653.595,32566,202.5369884,0.754431565,0.989314008,0.947743902,0.90923218
32233,665.493,32710,202.5841313,0.775204425,0.985417304,0.91458402,0.915702021
32251,644.051,32514,202.6406883,0.764060649,0.991911177,0.977040422,0.917005183
